station_id,station_name,longitude,latitude
372,"Sardinia Street, Holborn",-0.11786300000000001,51.5152
373,"Prince Consort Road, Knightsbridge",-0.17641600000000002,51.4998
374,"Waterloo Station 1, Waterloo",-0.113864,51.504
375,"Kensington Town Hall, Kensington",-0.194393,51.5019
376,"Millbank Tower, Pimlico",-0.125675,51.4919
377,"Waterloo Bridge, South Bank",-0.113657,51.5054
378,"Natural History Museum, South Kensington",-0.179078,51.4956
379,"Turquoise Island, Notting Hill",-0.20083800000000002,51.5143
380,"Stanhope Gate, Mayfair",-0.150667,51.5069
381,"Charlotte Street, Fitzrovia",-0.135777,51.5195
382,"Farm Street, Mayfair",-0.14745,51.5094
383,"Frith Street, Soho",-0.131214,51.5131
384,"Marloes Road, Kensington",-0.192404,51.4965
386,"Moor Street, Soho",-0.13011099999999998,51.5135
387,"Fire Brigade Pier, Vauxhall",-0.121394,51.4937
388,"Southampton Street, Strand",-0.121724,51.5107
389,"Upper Grosvenor Street, Mayfair",-0.15575799999999998,51.5101
390,"Buxton Street 1, Shoreditch",-0.068856,51.5218
392,"Imperial College, Knightsbridge",-0.179702,51.4994
393,"Snow Hill, Farringdon",-0.103604,51.5173
394,"Aberdeen Place, St. John's Wood",-0.176268,51.5248
395,"Cadogan Gardens, Chelsea",-0.159919,51.4925
396,"Shouldham Street, Marylebone",-0.163609,51.5181
397,"Devonshire Terrace, Bayswater",-0.17977,51.5135
398,"Holland Park, Kensington",-0.200742,51.5023
399,"Brick Lane Market, Shoreditch",-0.071654,51.5226
400,"George Street, Marylebone",-0.154106,51.5177
401,"Columbia Road, Shoreditch",-0.075375,51.5282
402,"Penfold Street, Marylebone",-0.171682,51.5229
403,"George Place Mews, Marylebone",-0.15825,51.5169
404,"Palace Gate, Kensington Gardens",-0.1844,51.501999999999995
405,"Gloucester Road Station, South Kensington",-0.182671,51.4942
408,"Paddington Green Police Station, Paddington",-0.170704,51.5199
409,"Strata, Elephant & Castle",-0.099828,51.4931
410,"Edgware Road Station, Marylebone",-0.169774,51.52
411,"Walworth Road, Elephant & Castle",-0.0996807,51.4934
412,"Cleaver Street, Kennington",-0.11012100000000001,51.4881
419,"Chelsea Bridge, Pimlico",-0.149004,51.4858
420,"Southwark Station 1, Southwark",-0.10531199999999999,51.504
421,"Southwark Station 2, Southwark",-0.10531199999999999,51.504
423,"Eaton Square (South), Belgravia",-0.153934,51.4946
424,"Ebury Bridge, Pimlico",-0.14918599999999999,51.4905
425,"Harrington Square 2, Camden Town",-0.139159,51.5334
426,"Vincent Street, Pimlico",-0.129925,51.4931
427,"Cheapside, Bank",-0.0929403,51.513999999999996
428,"Exhibition Road, Knightsbridge",-0.174554,51.4999
430,"South Parade, Chelsea",-0.17524,51.489
431,"Crinan Street, King's Cross",-0.12220299999999999,51.5345
432,"Exhibition Road Museums, South Kensington",-0.173894,51.497
433,"Wren Street, Holborn",-0.116279,51.5246
435,"Kennington Station, Kennington",-0.105593,51.4889
436,"Red Lion Street, Holborn",-0.11655,51.5182
437,"Vauxhall Walk, Vauxhall",-0.120903,51.4881
439,"Killick Street, King's Cross",-0.118677,51.5338
440,"Kennington Oval, Oval",-0.113134,51.4831
441,"Sail Street, Vauxhall",-0.114605,51.4957
442,"Walmer Road, Avondale",-0.211358,51.5101
443,"Philpot Street, Whitechapel",-0.058641,51.5153
444,"Bethnal Green Garden, Bethnal Green",-0.055312,51.5257
445,"Cheshire Street, Bethnal Green",-0.065076,51.5239
446,"York Hall, Bethnal Green",-0.055894000000000006,51.5289
447,"Jubilee Crescent, Cubitt Town",-0.007542,51.4934
448,"Fisherman's Walk West, Canary Wharf",-0.022959999999999998,51.5062
449,"Shadwell Station, Shadwell",-0.057159,51.5111
450,"Jubilee Street, Stepney",-0.053176999999999995,51.516000000000005
451,"Hermitage Court, Wapping",-0.06353099999999999,51.5047
452,"St. Katharine's Way, Tower",-0.070542,51.5057
453,"Garnet Street, Shadwell",-0.055166999999999994,51.5084
454,"Napier Avenue, Millwall",-0.021582,51.4877
455,"East Ferry Road, Cubitt Town",-0.014409,51.4945
456,"Parkway, Camden Town",-0.14466400000000001,51.5381
457,"Castlehaven Road, Camden Town",-0.145393,51.5421
458,"Wapping Lane, Wapping",-0.057544000000000005,51.5047
459,"Gunmakers Lane, Old Ford",-0.03338,51.5352
460,"Burdett Road, Mile End",-0.029138,51.5162
461,"Aston Street, Stepney",-0.038775,51.516000000000005
462,"Bonny Street, Camden Town",-0.138853,51.5416
463,"Thurtle road, Haggerston",-0.071881,51.5348
464,"St. Mary & St. Michael Church, Stepney",-0.052099,51.5142
465,"Pitfield Street North,Hoxton",-0.08249,51.5356
466,"Whiston Road, Haggerston",-0.07634099999999999,51.5345
467,"Southern Grove, Bow",-0.030556,51.5235
468,"Cantrell Road, Bow",-0.022694,51.5216
469,"Lindfield Street, Poplar",-0.020467,51.5138
470,"Mostyn Grove, Bow",-0.025491999999999997,51.5305
471,"Hewison Street, Old Ford",-0.028155,51.5333
472,"Malmesbury Road, Bow",-0.027616,51.5295
473,"Millharbour, Millwall",-0.019355,51.4961
474,"Castalia Square, Cubitt Town",-0.011457,51.4981
